DIN/PIN,"Plan","Rec Eff Date","Rec End Date","Ben Grp List","LCA Ind","Pay Gen Ind","Brand Nm","Manuf","Generic Nm","Dosage Form","Trial Flg","Max Price","LCA Price","RDP Cat","RDP Sub Cat","RDP Price","RDP Excl Plans","Can Fed Reg Cd","Pcare Plan Desc","Max Days Supply","Qty Limit","Formulary List Date","Ltd Use Flag","Max Daily Qty","Max Period Qty","Max Period Qty Days","Max Annual Qty","BGTS Cat Cd","BGTS Cat Desc","BGTS Max Annual Qty"	
00000019,"NB",20150116,40001230,"","","N","Placidyl Cap 200mg","003525","ETHCHLORVYNOL 200 MG CA","CAPSULE","N", 0000.0000, 0000.0000,"","",,"","T","Non-Benefit", 000, 99999999,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000027,"NB",20190319,40001230,"","","N","Placidyl Cap 500mg","003525","ETHCHLORVYNOL 500 MG CA","CAPSULE","N", 0000.0000, 0000.0000,"","",,"","T","Non-Benefit", 000, 99999999,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000035,"NB",20000928,40001230,"","","N","Non Benefit Plans Abcf","000000","Unknown Generic Drug  ","","N", 0000.0000, 0000.0000,"","",,"","","Non-Benefit", 000, 99999999,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000051,"NB",20000928,40001230,"","","N","Paradione Cap 300mg (D/C)","003525","Unknown Generic Drug  ","","N", 0000.0000, 0000.0000,"","",,"","","Non-Benefit", 000, 00000000,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000078,"NB",20020211,40001230,"","","N","Nembutal Sod Cap 50mg (D/C)","003525","Unknown Generic Drug  ","","N", 0000.0000, 0000.0000,"","",,"","","Non-Benefit", 000, 00000000,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000086,"NB",20150116,40001230,"","","N","Nembutal Sodium Cap 100mg","003525","PENTOBARBITAL SODIUM 100 MG CA","CAPSULE","N", 0000.0000, 0000.0000,"","",,"","C","Non-Benefit", 000, 99999999,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000116,"NB",19940101,40001230,"","","N","Tronothane 1% Cream","003525","PRAMOXINE HCL 1 % KA","CREAM (G)","N", 0000.0000, 0000.0000,"","",,"","O","Non-Benefit", 000, 00000000,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000151,"NB",19960510,40001230,"","","N","Cytospray Kit","004372","DIAGNOSTIC AIDS, O.U.  YK","KIT","N", 0000.0000, 0000.0000,"","",,"","P","Non-Benefit", 000, 00000000,19940101,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"B",20220223,20221231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","Licensed Residential Care Facilities", 100, 99999999,20010201,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
00000175,"B",20230101,20231231,"A ,B ,C ,F ,U ,W ","","N","Erythrocin Iv","003525","ERYTHROMYCIN LACTOBIONATE 500 MG IF","VIAL PORT","N", 0015.0336, 0000.0000,"","",,"","P","Licensed Residential Care Facilities", 100, 99999999,20010201,"N", 00000000.0, 00000000.0, 00000, 00000000.0,"NA","Not Applicable",	
